user_id,gender,married,birthdate,has_children,home_country,home_city,home_airport,sign_up_date,first_session_date,last_session_date,last_booking_date,tenure_days,n_sessions,n_booking_sessions,n_trip_sessions,total_flight_spend,total_hotel_spend,total_spend,cancelled_trips,booking_rate,cancellation_rate,conversion_rate,avg_session_duration,avg_page_clicks,avg_distance_km,max_distance_km,avg_nights,max_nights,avg_seats,avg_rooms,avg_checked_bags,avg_trip_duration_days,max_trip_duration_days,avg_spend_per_trip,has_cancellation,has_flight_history,has_hotel_history,R_days,R_score,F_score,M_score,RFM_score,RFM_segment,RFM_persona,CLTV_3m,value_tier,risk_tier,complexity_score,complexity_tier,engagement_tier,n_completed_trips,very_low_risk,eligible_no_cancellation_fees,eligible_exclusive_discount,eligible_free_checked_bag,eligible_free_hotel_meal,eligible_free_hotel_night_with_flight,demo_cluster_k4,demo_cluster_name,cluster_k4,behavior_cluster_name,assigned_perk,perk_source
23557,F,True,1958-12-08,False,usa,new york,LGA,2021-07-22,2023-01-04 19:30:00,2023-07-14 12:36:00,2023-07-14 12:36:00,190,8,2,2,0.0,3802.0,3802.0,0,0.25,0.0,1.0,1.2770833333333331,10.25,,,10.0,18.0,,1.5,,,,1901.0,False,False,True,15.0,5,2,4,11,5-2-4,Big Spenders,1800.9473684210525,Low,None,6.0,Complex,High,2,True,False,False,False,True,False,1,Mature Couples,0,Hotel-led Planners,Free Hotel Meal,Rule-based
94883,F,True,1972-03-16,False,usa,kansas city,MCI,2022-02-07,2023-01-10 12:20:00,2023-05-28 17:28:00,2023-04-10 21:13:00,138,8,2,2,864.0899999999999,230.0,1094.09,0,0.25,0.0,1.0,1.1291666666666669,9.125,1453.6661275572988,1536.4367582991026,1.0,1.0,1.5,1.5,0.5,2.5,3.0,547.045,False,True,True,109.0,2,2,2,6,2-2-2,Hibernating,713.5369565217391,Low,None,1.44536661275573,Simple,Low,2,True,False,False,False,True,False,1,Mature Couples,3,Core Reliable Bookers,Free Hotel Meal,Rule-based
101486,F,True,1972-12-07,True,usa,tacoma,TCM,2022-02-17,2023-01-21 08:02:00,2023-07-18 09:35:00,2023-06-17 19:42:00,178,8,2,2,189.91,2452.0,2641.91,0,0.25,0.0,1.0,2.0375,16.375,965.3405679141882,965.3405679141882,4.5,5.0,1.0,1.5,0.0,5.0,5.0,1320.955,False,True,True,42.0,4,2,3,9,4-2-3,Potential Loyalists,1335.797191011236,Low,None,3.046534056791419,Simple,Mid,2,True,False,False,False,True,False,0,Established Families,3,Core Reliable Bookers,Free Hotel Meal,Rule-based
101961,F,True,1980-09-14,False,usa,boston,BOS,2022-02-17,2023-01-19 03:38:00,2023-06-22 13:27:00,2023-06-22 13:27:00,154,8,5,5,1242.66,2798.0,4040.66,0,0.625,0.0,1.0,1.9625,15.75,1321.6841826795612,4003.264513280205,4.4,8.0,1.0,1.0,0.4,5.8,9.0,808.132,False,True,True,37.0,4,5,4,13,4-5-4,Champions,2361.424675324675,Mid,None,3.372168418267956,Simple,High,5,True,False,True,False,True,False,1,Mature Couples,3,Core Reliable Bookers,Exclusive Discount,Rule-based
106907,F,True,1978-11-17,True,usa,miami,TNT,2022-02-24,2023-01-10 17:24:00,2023-07-27 09:43:48,2023-06-06 09:41:00,197,8,1,2,27804.12,8514.0,36318.12,1,0.125,1.0,0.0,12.648584435416666,30.0,13402.323077200932,13402.323077200932,11.0,11.0,6.0,3.0,5.0,14.0,14.0,36318.12,True,True,True,53.0,4,1,5,10,4-1-5,Big Spenders,16592.034517766497,High,High,10.440232307720093,Complex,Mid,0,False,False,False,False,False,False,0,Established Families,1,High-stakes & Fragile,Free Hotel Meal,Fallback
118043,F,False,1972-05-04,True,usa,los angeles,LAX,2022-03-10,2023-02-05 08:34:00,2023-07-15 02:05:00,2023-07-15 02:05:00,159,8,5,5,2339.29,6638.0,8977.29,0,0.625,0.0,1.0,2.552083333333333,20.5,2455.024508886416,3974.209842999768,6.0,9.0,2.0,1.25,1.0,5.666666666666667,11.0,1795.458,False,True,True,14.0,5,5,5,15,5-5-5,Champions,5081.484905660377,High,None,4.145502450888642,Moderate,High,5,True,False,True,True,True,False,3,Young Families,3,Core Reliable Bookers,Free Checked Bag,Rule-based
120851,F,True,1972-09-25,True,usa,santa ana,SNA,2022-03-13,2023-01-04 19:49:00,2023-06-12 07:31:00,2023-04-07 18:56:00,158,8,1,1,384.68,2002.0,2386.68,0,0.125,0.0,1.0,0.8625,6.875,2249.833872451225,2249.833872451225,11.0,11.0,1.0,1.0,0.0,13.0,13.0,2386.68,False,True,True,113.0,2,1,3,6,2-1-3,Can't Lose Them,1359.5012658227847,Low,None,7.524983387245121,Complex,Low,1,True,False,False,True,True,False,0,Established Families,3,Core Reliable Bookers,Free Checked Bag,Rule-based
125845,F,True,1983-12-01,False,usa,el paso,BIF,2022-03-19,2023-01-08 14:28:00,2023-07-20 13:15:00,2023-06-05 19:55:00,192,9,3,3,1753.32,864.0,2617.32,0,0.3333333333333333,0.0,1.0,2.196296296296296,17.666666666666668,2700.7814584715748,3062.2046199096585,2.333333333333333,4.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,4.333333333333333,6.0,872.44,False,True,True,54.0,4,3,3,10,4-3-3,Potential Loyalists,1226.86875,Low,None,2.536744812513824,Simple,Mid,3,True,False,False,False,True,True,1,Mature Couples,3,Core Reliable Bookers,1 Free Hotel Night with Flight,Rule-based
133058,F,False,2005-04-07,False,usa,austin,AUS,2022-03-27,2023-01-07 18:40:00,2023-07-16 20:27:00,2023-03-27 02:07:00,190,8,1,1,423.51,0.0,423.51,0,0.125,0.0,1.0,1.1354166666666667,9.125,2708.294381612006,2708.294381612006,,,1.0,,0.0,5.0,5.0,423.51,False,True,False,124.0,2,1,1,4,2-1-1,Hibernating,200.61,Low,None,3.3708294381612007,Simple,Low,1,True,False,False,False,False,False,2,Young Singles,2,Browsers,Free Hotel Meal,Fallback
149058,F,False,1973-01-22,True,usa,birmingham,BHM,2022-04-14,2023-01-04 13:30:00,2023-06-19 16:57:00,2023-04-16 11:45:00,166,8,5,5,1928.66,6274.0,8202.66,0,0.625,0.0,1.0,2.1958333333333333,17.75,1904.7557523104624,2941.1312428198403,6.0,11.0,1.2,1.2,0.4,7.6,13.0,1640.532,False,True,True,104.0,2,5,5,12,2-5-5,At Risk,4447.225301204819,Mid,None,4.470475575231046,Moderate,High,5,True,False,False,True,True,False,3,Young Families,3,Core Reliable Bookers,Free Checked Bag,Rule-based
